request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today; the 90-day forecast remains above the required minimum balance.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use the selected installment schedule for the full EUR 1404.7 request; the forecast remains above the minimum balance.
request_207,4692.04,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait and pay ZAR 11830 on 2026-07-15; paying sooner would breach the forecast safety buffer.
request_208,3110336.76,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Wait and pay IDR 4413000 on 2024-06-15; paying sooner would breach the forecast safety buffer.
request_209,8304.53,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 8304.53 is safely available today; the full ZAR 56914 request cannot be completed within the forecast.
request_210,987.07,affordable_with_plan,partial_payment,2026-04-06:987.07|2026-04-15:372.95,2026-04-15,none,Pay USD 987.07 today and the remaining USD 372.95 on 2026-04-15; the full request completes safely by the deadline.
request_211,249.17,affordable_later,wait,2024-11-14:1788.6,2024-11-14,none,Wait and pay EUR 1788.6 on 2024-11-14; paying sooner would breach the forecast safety buffer.
request_212,6223006.63,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 6223006.63 is safely available today; the full IDR 71934000 request cannot be completed within the forecast.
request_213,2613.47,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 2613.47 is safely available today; the full USD 3362.4 request cannot be completed within the forecast.
request_214,69750,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 69750 is safely available today; the full INR 69750 request cannot be completed within the forecast.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use the selected installment schedule for the full ZAR 29986 request; the forecast remains above the minimum balance.
request_216,402.3,not_affordable,not_recommended,none,2026-09-16,none,Do not proceed. Only USD 402.3 is safely available today; the full USD 3332.4 request cannot be completed within the forecast.
request_217,19551.52,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 19551.52 is safely available today; the full ZAR 37180 request cannot be completed within the forecast.
request_218,24412824.78,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use the selected installment schedule for the full IDR 61142000 request; the forecast remains above the minimum balance.
request_219,1499.68,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 1499.68 is safely available today; the full EUR 1673.1 request cannot be completed within the forecast.
request_220,66.01,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 66.01 is safely available today; the full EUR 3118.5 request cannot be completed within the forecast.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today; the 90-day forecast remains above the required minimum balance.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today; the 90-day forecast remains above the required minimum balance.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today; the 90-day forecast remains above the required minimum balance.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use the selected installment schedule for the full IDR 10327000 request; the forecast remains above the minimum balance.
request_225,9642009.28,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-16,none,Use the selected installment schedule for the full IDR 22059000 request; the forecast remains above the minimum balance.
request_226,108577.47,not_affordable,not_recommended,none,2025-02-21,none,Do not proceed. Only INR 108577.47 is safely available today; the full INR 157000 request cannot be completed within the forecast.
request_227,40691.76,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 40691.76 is safely available today; the full INR 259700 request cannot be completed within the forecast.
request_228,9986596.28,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 9986596.28 is safely available today; the full IDR 63327000 request cannot be completed within the forecast.
request_229,396.08,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,Use the selected installment schedule for the full EUR 1526.8 request; the forecast remains above the minimum balance.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,,none,Pay EUR 3537.6 today; the 90-day forecast remains above the required minimum balance.
request_231,31549.28,not_affordable,not_recommended,none,2026-02-15,none,Do not proceed. Only ZAR 31549.28 is safely available today; the full ZAR 35706 request cannot be completed within the forecast.
request_232,1862.25,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 1862.25 is safely available today; the full EUR 1970.1 request cannot be completed within the forecast.
request_233,5233637.21,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 5233637.21 is safely available today; the full IDR 6241000 request cannot be completed within the forecast.
request_234,184.01,not_affordable,not_recommended,none,2026-09-16,none,Do not proceed. Only EUR 184.01 is safely available today; the full EUR 1213.3 request cannot be completed within the forecast.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today; the 90-day forecast remains above the required minimum balance.
request_236,5830729.17,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 5830729.17 is safely available today; the full IDR 52383000 request cannot be completed within the forecast.
request_237,22137013.8,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 22137013.8 is safely available today; the full IDR 23826000 request cannot be completed within the forecast.
request_238,663.6,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 663.6 is safely available today; the full USD 663.6 request cannot be completed within the forecast.
request_239,642,affordable_now,full_payment,2025-05-04:642,,none,Pay USD 642 today; the 90-day forecast remains above the required minimum balance.
request_240,24260.66,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 24260.66 is safely available today; the full INR 101200 request cannot be completed within the forecast.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use the selected installment schedule for the full IDR 21052000 request; the forecast remains above the minimum balance.
request_242,420.86,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 420.86 is safely available today; the full EUR 1966.8 request cannot be completed within the forecast.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today; the 90-day forecast remains above the required minimum balance.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,,none,Pay ZAR 49918 today; the 90-day forecast remains above the required minimum balance.
request_245,65053.79,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 65053.79 is safely available today; the full INR 128500 request cannot be completed within the forecast.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use the selected installment schedule for the full ZAR 64086 request; the forecast remains above the minimum balance.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today; the 90-day forecast remains above the required minimum balance.
request_248,1442.98,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 1442.98 is safely available today; the full USD 1965.6 request cannot be completed within the forecast.
request_249,128.72,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only USD 128.72 is safely available today; the full USD 643.2 request cannot be completed within the forecast.
request_250,15382.37,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 15382.37 is safely available today; the full ZAR 124278 request cannot be completed within the forecast.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,Do not proceed. Only EUR 1513.6 is safely available today; the full EUR 1513.6 request cannot be completed within the forecast.
request_252,3867392.51,not_affordable,not_recommended,none,2026-09-16,none,Do not proceed. Only IDR 3867392.51 is safely available today; the full IDR 28082000 request cannot be completed within the forecast.
request_253,1364.48,not_affordable,not_recommended,none,2024-05-18,none,Do not proceed. Only EUR 1364.48 is safely available today; the full EUR 2840.2 request cannot be completed within the forecast.
request_254,1645.89,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 1645.89 is safely available today; the full USD 3535.2 request cannot be completed within the forecast.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today; the 90-day forecast remains above the required minimum balance.
request_256,218700,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 218700 is safely available today; the full INR 218700 request cannot be completed within the forecast.
request_257,340.86,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 340.86 is safely available today; the full USD 1352.4 request cannot be completed within the forecast.
request_258,114.09,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 114.09 is safely available today; the full USD 1113.6 request cannot be completed within the forecast.
request_259,451.06,affordable_later,wait,2024-10-14:935,2024-10-14,none,Wait and pay EUR 935 on 2024-10-14; paying sooner would breach the forecast safety buffer.
request_260,9591722.23,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 9591722.23 is safely available today; the full IDR 52079000 request cannot be completed within the forecast.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today; the 90-day forecast remains above the required minimum balance.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,,none,Pay IDR 9236000 today; the 90-day forecast remains above the required minimum balance.
request_263,14032.92,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 14032.92 is safely available today; the full ZAR 51546 request cannot be completed within the forecast.
request_264,22974.97,not_affordable,not_recommended,none,2026-06-16,none,Do not proceed. Only INR 22974.97 is safely available today; the full INR 111300 request cannot be completed within the forecast.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,,none,Pay INR 45970 today; the 90-day forecast remains above the required minimum balance.
request_266,769.63,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Use the selected installment schedule for the full EUR 935 request; the forecast remains above the minimum balance.
request_267,1633.36,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,Use the selected installment schedule for the full EUR 1925 request; the forecast remains above the minimum balance.
request_268,1033.03,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-16,none,Use the selected installment schedule for the full EUR 2426.6 request; the forecast remains above the minimum balance.
request_269,12364.48,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 12364.48 is safely available today; the full ZAR 15490 request cannot be completed within the forecast.
request_270,475.22,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 475.22 is safely available today; the full USD 3028.8 request cannot be completed within the forecast.
request_271,6527.29,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 6527.29 is safely available today; the full INR 91300 request cannot be completed within the forecast.
request_272,8674918.08,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 8674918.08 is safely available today; the full IDR 13585000 request cannot be completed within the forecast.
request_273,9626670.43,affordable_with_plan,partial_payment,2026-04-07:9626670.43|2026-04-15:6234329.57,2026-04-15,none,Pay IDR 9626670.43 today and the remaining IDR 6234329.57 on 2026-04-15; the full request completes safely by the deadline.
request_274,2106.81,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-16,none,Use the selected installment schedule for the full EUR 2713.7 request; the forecast remains above the minimum balance.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today; the 90-day forecast remains above the required minimum balance.
